name,price,rating,reviews,availability,image_url
"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",149.,4.1 out of 5 stars,949,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)  4.1 out of 5 stars 949  4K+ bought in past month$149.70$149.70Only 4 left in stock - order soon.Seller rating: 4.7/5 (132)Add to cart-RemoveMore Buying Choices$138.95(8 used & new offers)",https://m.media-amazon.com/images/I/51rp0nqaPoL._AC_UY218_.jpg
"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet",779.,4.5 out of 5 stars,453,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet  Options:2 sizes2 sizes4.5 out of 5 stars 453  300+ bought in past month$779.99$779.99 List: $859.99$859.99Delivery Mon, Oct 21 Ships to India  2 sustainability features Sustainability featuresThis product has sustainability features recognized by trusted certifications. Energy efficiencyConserves energy compared to similar products.As certified by EPEATLearn more about EPEAT EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelGOLDManufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-Remove+3 colors/patterns",https://m.media-amazon.com/images/I/716UvwH-NvL._AC_UY218_.jpg
"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",N/A,4.0 out of 5 stars,"2,080","Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)  Options:2 sizes2 sizes4.0 out of 5 stars 2,080  1K+ bought in past month+3",https://m.media-amazon.com/images/I/61M4ndNetDL._AC_UY218_.jpg
"TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5"" Max Vision HD+ Display | Blue",49.,4.2 out of 5 stars,"2,821","TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5"" Max Vision HD+ Display | Blue  4.2 out of 5 stars 2,821  500+ bought in past month$49.99$49.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$43.99(3 used & new offers)",https://m.media-amazon.com/images/I/71zGrrAe5NL._AC_UY218_.jpg
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,333.,4.3 out of 5 stars,"2,515","Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal  4.3 out of 5 stars 2,515  1K+ bought in past month$333.00$333.00 List: $499.00$499.00  1 sustainability feature Sustainability featuresThis product has sustainability features recognized by trusted certifications. Manufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Seller rating: 4.4/5 (201)Add to cart-RemoveMore Buying Choices$308.76(22+ used & new offers)",https://m.media-amazon.com/images/I/61r7cCpQPlL._AC_UY218_.jpg
"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Summer Lilac, 73.95 x 170.82 x 7.35mm",396.,4.0 out of 5 stars,471,"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Summer Lilac, 73.95 x 170.82 x 7.35mm  4.0 out of 5 stars 471  200+ bought in past month$396.94$396.94 List: $699.99$699.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$346.49(4+ used & new offers)+1",https://m.media-amazon.com/images/I/61nVT+i3rdL._AC_UY218_.jpg
"OnePlus 12,12GB RAM+256GB,Dual-SIM,Unlocked Android Smartphone,Supports Fastest 50W Wireless Charging,with The Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Silky Black",799.,4.5 out of 5 stars,541,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OnePlus 12,12GB RAM+256GB,Dual-SIM,Unlocked Android Smartphone,Supports Fastest 50W Wireless Charging,with The Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Silky Black  Options:2 sizes2 sizes4.5 out of 5 stars 541  200+ bought in past month$799.99$799.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-Remove",https://m.media-amazon.com/images/I/71NW2QaIzlL._AC_UY218_.jpg
Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,99.,4.0 out of 5 stars,"1,375","Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue  4.0 out of 5 stars 1,375  2K+ bought in past month$99.99$99.99 List: $169.99$169.99$12.44 deliveryShips to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$65.74(14+ used & new offers)",https://m.media-amazon.com/images/I/61K1Fz5LxvL._AC_UY218_.jpg
Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,49.,4.1 out of 5 stars,60,"Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue  4.1 out of 5 stars 60  500+ bought in past month$49.99$49.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-Remove",https://m.media-amazon.com/images/I/71CxUvG46rL._AC_UY218_.jpg
"Bark Phone - Safest Phone for Kids & Teens - Monitor Texts, Social Media, and More - Tamper Proof Parental Controls - GPS Tracking - Unlimited Talk/Text Phone A15",199.,3.8 out of 5 stars,122,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Bark Phone - Safest Phone for Kids & Teens - Monitor Texts, Social Media, and More - Tamper Proof Parental Controls - GPS Tracking - Unlimited Talk/Text Phone A15  3.8 out of 5 stars 122  100+ bought in past month$199.00$199.0015% off coupon appliedSave 15%  with coupon   Small Business Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more Add to cart-Remove",https://m.media-amazon.com/images/I/81iZaO5IZ5L._AC_UY218_.jpg
"Elvy Fast Qi Wireless Charger for Cell Phones - Designed with EMF Management Technology for Enhanced Charging, Advanced Environmental Shielding, Lab Tested by Ordos Tech, 2023 (Jet Black)",89.,3.5 out of 5 stars,91,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Elvy Fast Qi Wireless Charger for Cell Phones - Designed with EMF Management Technology for Enhanced Charging, Advanced Environmental Shielding, Lab Tested by Ordos Tech, 2023 (Jet Black)  3.5 out of 5 stars 91  $89.00$89.00Add to cart-Remove+2 colors/patterns",https://m.media-amazon.com/images/I/81HIuR2FZCL._AC_UY218_.jpg
"Magnetic Neck Mount for Phones, Hands Free POV/Vlog Selfie Mount Flexible Neck Phone Holder for Recording, Magnetic Phone Chest Mount for iPhone 15 14 13 12 Seires and All Smartphones",28.,4.8 out of 5 stars,43,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Magnetic Neck Mount for Phones, Hands Free POV/Vlog Selfie Mount Flexible Neck Phone Holder for Recording, Magnetic Phone Chest Mount for iPhone 15 14 13 12 Seires and All Smartphones  4.8 out of 5 stars 43  300+ bought in past month$28.49$28.49 List: $29.94$29.9410% off coupon appliedSave 10%  with coupon Add to cart-Remove",https://m.media-amazon.com/images/I/61lw9wxB-cL._AC_UY218_.jpg
"Compatible with iPhone 16 Case, Liquid Silicone Soft Microfiber Lining Shockproof Gel Rubber Phone Case for iPhone 16 6.1-Inch Black",7.,N/A,List:,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Compatible with iPhone 16 Case, Liquid Silicone Soft Microfiber Lining Shockproof Gel Rubber Phone Case for iPhone 16 6.1-Inch Black  $7.99$7.99 List: $9.99$9.9950% off coupon appliedSave 50%  with coupon Seller rating: 4.9/5 (491)Add to cart-Remove+9 colors/patterns",https://m.media-amazon.com/images/I/61gFMhbsfYL._AC_UY218_.jpg
ZZXX for iPhone 16 Plus Wallet Case with [RFID Blocking] Card Slot Stand Strong Magnetic Leather Flip Fold Protective Phone Case for iPhone 16 Plus Case Wallet(Black-6.7 inch),19.,N/A,Save 20%,SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  ZZXX for iPhone 16 Plus Wallet Case with [RFID Blocking] Card Slot Stand Strong Magnetic Leather Flip Fold Protective Phone Case for iPhone 16 Plus Case Wallet(Black-6.7 inch)  Options:4 sizes4 sizes$19.99$19.9920% off coupon appliedSave 20%  with coupon Seller rating: 4.9/5 (865)Add to cart-Remove+7 colors/patterns,https://m.media-amazon.com/images/I/91msy92HwaL._AC_UY218_.jpg
"SAMSUNG Galaxy S24 Ultra 5G S9280 Physical Dual SIM 512GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model, Long Battery Life - Titanium Violet",982.,4.3 out of 5 stars,50,"SAMSUNG Galaxy S24 Ultra 5G S9280 Physical Dual SIM 512GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model, Long Battery Life - Titanium Violet  4.3 out of 5 stars 50  400+ bought in past month$982.89$982.89Seller rating: 4.8/5 (961)Add to cart-Remove",https://m.media-amazon.com/images/I/418KI8X9QBL._AC_UY218_.jpg
Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue,59.,3.3 out of 5 stars,77,"Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue  3.3 out of 5 stars 77  1K+ bought in past month$59.99$59.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-Remove",https://m.media-amazon.com/images/I/71PGVVHz08L._AC_UY218_.jpg
"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)",84.,4.4 out of 5 stars,145,"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)  4.4 out of 5 stars 145  600+ bought in past month$84.99$84.99 List: $99.99$99.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$63.74(4+ used & new offers)",https://m.media-amazon.com/images/I/81ngV9Xg7hL._AC_UY218_.jpg
"Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)",159.,4.3 out of 5 stars,"1,366","Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)  4.3 out of 5 stars 1,366  2K+ bought in past month$159.99$159.99 List: $179.99$179.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$104.14(3+ used & new offers)",https://m.media-amazon.com/images/I/71GFOQskU-L._AC_UY218_.jpg
Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray,85.,3.9 out of 5 stars,224,Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray  3.9 out of 5 stars 224  1K+ bought in past month$85.41$85.41Seller rating: 4.9/5 (141)Add to cart-Remove,https://m.media-amazon.com/images/I/51JEsDX-ynL._AC_UY218_.jpg
"Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)",40.,3.6 out of 5 stars,"2,057","Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)  Options:2 sizes2 sizes3.6 out of 5 stars 2,057  1K+ bought in past month$40.98$40.98 Typical: $43.68$43.68Seller rating: 4.9/5 (116)Add to cart-Remove",https://m.media-amazon.com/images/I/81wN2woIouL._AC_UY218_.jpg
Bold K10 | 2024 | 3-Day Battery | Unlocked | 6.6” HD+ Infinity Display | 128/4GB | Triple 50MP Camera | US Version | US Warranty | Black,99.,3.7 out of 5 stars,24,Bold K10 | 2024 | 3-Day Battery | Unlocked | 6.6” HD+ Infinity Display | 128/4GB | Triple 50MP Camera | US Version | US Warranty | Black  3.7 out of 5 stars 24  100+ bought in past month$99.99$99.99Seller rating: 4.3/5 (319)Add to cart-RemoveMore Buying Choices$99.97(4 new offers)+3 colors/patterns,https://m.media-amazon.com/images/I/716qo4kxJzL._AC_UY218_.jpg
"SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Mint",629.,4.5 out of 5 stars,"1,192","SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Mint  Options:2 sizes2 sizes4.5 out of 5 stars 1,192  200+ bought in past month$629.99$629.99$12.03 deliveryShips to India  2 sustainability features Sustainability featuresThis product has sustainability features recognized by trusted certifications. Energy efficiencyConserves energy compared to similar products.As certified by EPEATLearn more about EPEAT EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelGOLDManufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-RemoveMore Buying Choices$447.47(2+ used & new offers)",https://m.media-amazon.com/images/I/7126yDn-+jL._AC_UY218_.jpg
"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Marble Gray",779.,4.5 out of 5 stars,453,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Marble Gray  Options:2 sizes2 sizes4.5 out of 5 stars 453  300+ bought in past month$779.99$779.99 List: $859.99$859.99Delivery Mon, Oct 21 Ships to India  2 sustainability features Sustainability featuresThis product has sustainability features recognized by trusted certifications. Energy efficiencyConserves energy compared to similar products.As certified by EPEATLearn more about EPEAT EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelGOLDManufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-Remove+3 colors/patterns",https://m.media-amazon.com/images/I/71n6yF1SA4L._AC_UY218_.jpg
